Title,Composer,Key,Rhythm,Time Signature,Section,Measure,Chord Index,Chord,Year,Roman Numeral
9.20 Special,Earl Warren,,Medium Swing,4/4,A,0,0,D9,1941,
9.20 Special,Earl Warren,,Medium Swing,4/4,A,1,1,Fm6,1941,
9.20 Special,Earl Warren,,Medium Swing,4/4,A,2,2,D9,1941,
9.20 Special,Earl Warren,,Medium Swing,4/4,A,3,3,Fm6,1941,
9.20 Special,Earl Warren,,Medium Swing,4/4,A,4,4,C,1941,
9.20 Special,Earl Warren,,Medium Swing,4/4,A,5,5,C7,1941,
9.20 Special,Earl Warren,,Medium Swing,4/4,A,5,6,B7,1941,
9.20 Special,Earl Warren,,Medium Swing,4/4,A,5,7,Bb7,1941,
9.20 Special,Earl Warren,,Medium Swing,4/4,A,5,8,A7,1941,
9.20 Special,Earl Warren,,Medium Swing,4/4,A,6,9,D9,1941,
9.20 Special,Earl Warren,,Medium Swing,4/4,A,7,10,G7,1941,
9.20 Special,Earl Warren,,Medium Swing,4/4,A,7,11,Ab7,1941,
9.20 Special,Earl Warren,,Medium Swing,4/4,A,7,12,G7,1941,
9.20 Special,Earl Warren,,Medium Swing,4/4,A,7,13,,1941,
9.20 Special,Earl Warren,,Medium Swing,4/4,A,8,14,D9,1941,
9.20 Special,Earl Warren,,Medium Swing,4/4,A,9,15,G7,1941,
9.20 Special,Earl Warren,,Medium Swing,4/4,A,9,16,C6,1941,
9.20 Special,Earl Warren,,Medium Swing,4/4,B,0,17,C7,1941,
9.20 Special,Earl Warren,,Medium Swing,4/4,B,1,18,C7,1941,
9.20 Special,Earl Warren,,Medium Swing,4/4,B,2,19,F6,1941,
9.20 Special,Earl Warren,,Medium Swing,4/4,B,3,20,F6,1941,
9.20 Special,Earl Warren,,Medium Swing,4/4,B,4,21,D7,1941,
9.20 Special,Earl Warren,,Medium Swing,4/4,B,5,22,D7,1941,
9.20 Special,Earl Warren,,Medium Swing,4/4,B,6,23,G7,1941,
9.20 Special,Earl Warren,,Medium Swing,4/4,B,7,24,G7,1941,
9.20 Special,Earl Warren,,Medium Swing,4/4,A,0,25,D9,1941,
9.20 Special,Earl Warren,,Medium Swing,4/4,A,1,26,Fm6,1941,
9.20 Special,Earl Warren,,Medium Swing,4/4,A,2,27,D9,1941,
9.20 Special,Earl Warren,,Medium Swing,4/4,A,3,28,Fm6,1941,
9.20 Special,Earl Warren,,Medium Swing,4/4,A,4,29,C,1941,
9.20 Special,Earl Warren,,Medium Swing,4/4,A,5,30,C7,1941,
9.20 Special,Earl Warren,,Medium Swing,4/4,A,5,31,B7,1941,
9.20 Special,Earl Warren,,Medium Swing,4/4,A,5,32,Bb7,1941,
9.20 Special,Earl Warren,,Medium Swing,4/4,A,5,33,A7,1941,
9.20 Special,Earl Warren,,Medium Swing,4/4,A,6,34,D9,1941,
9.20 Special,Earl Warren,,Medium Swing,4/4,A,7,35,G7,1941,
9.20 Special,Earl Warren,,Medium Swing,4/4,A,7,36,C6,1941,
26-2,John Coltrane,F,Medium Up Swing,4/4,A,0,0,Fmaj7,1947,I7
26-2,John Coltrane,F,Medium Up Swing,4/4,A,0,1,Ab7,1947,III75#3
26-2,John Coltrane,F,Medium Up Swing,4/4,A,1,2,Dbmaj7,1947,
26-2,John Coltrane,F,Medium Up Swing,4/4,A,1,3,E7,1947,VII7#5#3
26-2,John Coltrane,F,Medium Up Swing,4/4,A,2,4,Amaj7,1947,III#75#3
26-2,John Coltrane,F,Medium Up Swing,4/4,A,2,5,C7,1947,V7
26-2,John Coltrane,F,Medium Up Swing,4/4,A,3,6,Cm7,1947,v75b3
26-2,John Coltrane,F,Medium Up Swing,4/4,A,3,7,F7,1947,Ib753
26-2,John Coltrane,F,Medium Up Swing,4/4,A,4,8,Bbmaj7,1947,
26-2,John Coltrane,F,Medium Up Swing,4/4,A,4,9,Db7,1947,VI75#3
26-2,John Coltrane,F,Medium Up Swing,4/4,A,5,10,Gbmaj7,1947,
26-2,John Coltrane,F,Medium Up Swing,4/4,A,5,11,A7,1947,III75#3
26-2,John Coltrane,F,Medium Up Swing,4/4,A,6,12,Dm7,1947,vi7
26-2,John Coltrane,F,Medium Up Swing,4/4,A,6,13,G7,1947,II75#3
26-2,John Coltrane,F,Medium Up Swing,4/4,A,7,14,Gm7,1947,ii7
26-2,John Coltrane,F,Medium Up Swing,4/4,A,7,15,C7,1947,V7
26-2,John Coltrane,F,Medium Up Swing,4/4,A,0,16,Fmaj7,1947,I7
26-2,John Coltrane,F,Medium Up Swing,4/4,A,0,17,Ab7,1947,III75#3
26-2,John Coltrane,F,Medium Up Swing,4/4,A,1,18,Dbmaj7,1947,
26-2,John Coltrane,F,Medium Up Swing,4/4,A,1,19,E7,1947,VII7#5#3
26-2,John Coltrane,F,Medium Up Swing,4/4,A,2,20,Amaj7,1947,III#75#3
26-2,John Coltrane,F,Medium Up Swing,4/4,A,2,21,C7,1947,V7
26-2,John Coltrane,F,Medium Up Swing,4/4,A,3,22,Cm7,1947,v75b3
26-2,John Coltrane,F,Medium Up Swing,4/4,A,3,23,F7,1947,Ib753
26-2,John Coltrane,F,Medium Up Swing,4/4,A,4,24,Bbmaj7,1947,
26-2,John Coltrane,F,Medium Up Swing,4/4,A,4,25,Ab7,1947,III75#3
26-2,John Coltrane,F,Medium Up Swing,4/4,A,5,26,Dbmaj7,1947,
26-2,John Coltrane,F,Medium Up Swing,4/4,A,5,27,E7,1947,VII7#5#3
26-2,John Coltrane,F,Medium Up Swing,4/4,A,6,28,Amaj7,1947,III#75#3
26-2,John Coltrane,F,Medium Up Swing,4/4,A,6,29,C7,1947,V7
26-2,John Coltrane,F,Medium Up Swing,4/4,A,7,30,Fmaj7,1947,I7
26-2,John Coltrane,F,Medium Up Swing,4/4,B,0,31,Cm7,1947,v75b3
26-2,John Coltrane,F,Medium Up Swing,4/4,B,0,32,F7,1947,Ib753
26-2,John Coltrane,F,Medium Up Swing,4/4,B,1,33,Em7,1947,vii7#53
26-2,John Coltrane,F,Medium Up Swing,4/4,B,1,34,A7,1947,III75#3
26-2,John Coltrane,F,Medium Up Swing,4/4,B,2,35,Dmaj7,1947,VI#75#3
26-2,John Coltrane,F,Medium Up Swing,4/4,B,2,36,F7,1947,Ib753
26-2,John Coltrane,F,Medium Up Swing,4/4,B,3,37,Bbmaj7,1947,
26-2,John Coltrane,F,Medium Up Swing,4/4,B,4,38,Ebm7,1947,
26-2,John Coltrane,F,Medium Up Swing,4/4,B,5,39,Ab7,1947,III75#3
26-2,John Coltrane,F,Medium Up Swing,4/4,B,6,40,Dbmaj7,1947,
26-2,John Coltrane,F,Medium Up Swing,4/4,B,7,41,Gm7,1947,ii7
26-2,John Coltrane,F,Medium Up Swing,4/4,B,7,42,C7,1947,V7
26-2,John Coltrane,F,Medium Up Swing,4/4,A,0,43,Fmaj7,1947,I7
26-2,John Coltrane,F,Medium Up Swing,4/4,A,0,44,Ab7,1947,III75#3
26-2,John Coltrane,F,Medium Up Swing,4/4,A,1,45,Dbmaj7,1947,
26-2,John Coltrane,F,Medium Up Swing,4/4,A,1,46,E7,1947,VII7#5#3
26-2,John Coltrane,F,Medium Up Swing,4/4,A,2,47,Amaj7,1947,III#75#3
26-2,John Coltrane,F,Medium Up Swing,4/4,A,2,48,C7,1947,V7
26-2,John Coltrane,F,Medium Up Swing,4/4,A,3,49,Cm7,1947,v75b3
26-2,John Coltrane,F,Medium Up Swing,4/4,A,3,50,F7,1947,Ib753
26-2,John Coltrane,F,Medium Up Swing,4/4,A,4,51,Bbmaj7,1947,
26-2,John Coltrane,F,Medium Up Swing,4/4,A,4,52,Ab7,1947,III75#3
26-2,John Coltrane,F,Medium Up Swing,4/4,A,5,53,Dbmaj7,1947,
26-2,John Coltrane,F,Medium Up Swing,4/4,A,5,54,E7,1947,VII7#5#3
26-2,John Coltrane,F,Medium Up Swing,4/4,A,6,55,Amaj7,1947,III#75#3
26-2,John Coltrane,F,Medium Up Swing,4/4,A,6,56,C7,1947,V7
26-2,John Coltrane,F,Medium Up Swing,4/4,A,7,57,Fmaj7,1947,I7
52nd Street Theme,Thelonious Monk,,Up Tempo Swing,4/4,A,0,0,C,1947,
52nd Street Theme,Thelonious Monk,,Up Tempo Swing,4/4,A,0,1,Am7,1947,
52nd Street Theme,Thelonious Monk,,Up Tempo Swing,4/4,A,1,2,Dm7,1947,
52nd Street Theme,Thelonious Monk,,Up Tempo Swing,4/4,A,1,3,G7,1947,
52nd Street Theme,Thelonious Monk,,Up Tempo Swing,4/4,A,2,4,C,1947,
52nd Street Theme,Thelonious Monk,,Up Tempo Swing,4/4,A,2,5,Am7,1947,
52nd Street Theme,Thelonious Monk,,Up Tempo Swing,4/4,A,3,6,Dm7,1947,
52nd Street Theme,Thelonious Monk,,Up Tempo Swing,4/4,A,3,7,G7,1947,
52nd Street Theme,Thelonious Monk,,Up Tempo Swing,4/4,A,4,8,C,1947,
52nd Street Theme,Thelonious Monk,,Up Tempo Swing,4/4,A,4,9,Am7,1947,
52nd Street Theme,Thelonious Monk,,Up Tempo Swing,4/4,A,5,10,Dm7,1947,
52nd Street Theme,Thelonious Monk,,Up Tempo Swing,4/4,A,5,11,G7,1947,
52nd Street Theme,Thelonious Monk,,Up Tempo Swing,4/4,A,6,12,C,1947,
52nd Street Theme,Thelonious Monk,,Up Tempo Swing,4/4,A,6,13,G7,1947,
52nd Street Theme,Thelonious Monk,,Up Tempo Swing,4/4,A,7,14,C,1947,
52nd Street Theme,Thelonious Monk,,Up Tempo Swing,4/4,B,0,15,C7,1947,
52nd Street Theme,Thelonious Monk,,Up Tempo Swing,4/4,B,1,16,C7,1947,
52nd Street Theme,Thelonious Monk,,Up Tempo Swing,4/4,B,2,17,F6,1947,
52nd Street Theme,Thelonious Monk,,Up Tempo Swing,4/4,B,3,18,F6,1947,
52nd Street Theme,Thelonious Monk,,Up Tempo Swing,4/4,B,4,19,D7,1947,
52nd Street Theme,Thelonious Monk,,Up Tempo Swing,4/4,B,5,20,D7,1947,
52nd Street Theme,Thelonious Monk,,Up Tempo Swing,4/4,B,6,21,G7,1947,
52nd Street Theme,Thelonious Monk,,Up Tempo Swing,4/4,B,7,22,G7,1947,
52nd Street Theme,Thelonious Monk,,Up Tempo Swing,4/4,A,0,23,C,1947,
52nd Street Theme,Thelonious Monk,,Up Tempo Swing,4/4,A,0,24,Am7,1947,
52nd Street Theme,Thelonious Monk,,Up Tempo Swing,4/4,A,1,25,Dm7,1947,
52nd Street Theme,Thelonious Monk,,Up Tempo Swing,4/4,A,1,26,G7,1947,
52nd Street Theme,Thelonious Monk,,Up Tempo Swing,4/4,A,2,27,C,1947,
52nd Street Theme,Thelonious Monk,,Up Tempo Swing,4/4,A,2,28,Am7,1947,
52nd Street Theme,Thelonious Monk,,Up Tempo Swing,4/4,A,3,29,Dm7,1947,
52nd Street Theme,Thelonious Monk,,Up Tempo Swing,4/4,A,3,30,G7,1947,
52nd Street Theme,Thelonious Monk,,Up Tempo Swing,4/4,A,4,31,C,1947,
52nd Street Theme,Thelonious Monk,,Up Tempo Swing,4/4,A,4,32,Am7,1947,
52nd Street Theme,Thelonious Monk,,Up Tempo Swing,4/4,A,5,33,Dm7,1947,
52nd Street Theme,Thelonious Monk,,Up Tempo Swing,4/4,A,5,34,G7,1947,
52nd Street Theme,Thelonious Monk,,Up Tempo Swing,4/4,A,6,35,C,1947,
52nd Street Theme,Thelonious Monk,,Up Tempo Swing,4/4,A,6,36,G7,1947,
52nd Street Theme,Thelonious Monk,,Up Tempo Swing,4/4,A,7,37,C,1947,
500 Miles High,Chick Corea,Emin,Bossa Nova,4/4,,0,0,Em7,1972,
500 Miles High,Chick Corea,Emin,Bossa Nova,4/4,,1,1,Em7,1972,
500 Miles High,Chick Corea,Emin,Bossa Nova,4/4,,2,2,Gm7,1972,
500 Miles High,Chick Corea,Emin,Bossa Nova,4/4,,3,3,Gm7,1972,
500 Miles High,Chick Corea,Emin,Bossa Nova,4/4,,4,4,Bbmaj7,1972,
500 Miles High,Chick Corea,Emin,Bossa Nova,4/4,,5,5,Bbmaj7,1972,
500 Miles High,Chick Corea,Emin,Bossa Nova,4/4,,6,6,Bm7b5,1972,
500 Miles High,Chick Corea,Emin,Bossa Nova,4/4,,7,7,E7#9,1972,
500 Miles High,Chick Corea,Emin,Bossa Nova,4/4,,8,8,Am7,1972,
500 Miles High,Chick Corea,Emin,Bossa Nova,4/4,,9,9,Am7,1972,
500 Miles High,Chick Corea,Emin,Bossa Nova,4/4,,10,10,F#m7b5,1972,
500 Miles High,Chick Corea,Emin,Bossa Nova,4/4,,11,11,F#m7b5,1972,
500 Miles High,Chick Corea,Emin,Bossa Nova,4/4,,12,12,Fm7,1972,
500 Miles High,Chick Corea,Emin,Bossa Nova,4/4,,13,13,Fm7,1972,
500 Miles High,Chick Corea,Emin,Bossa Nova,4/4,,14,14,Cm7,1972,
500 Miles High,Chick Corea,Emin,Bossa Nova,4/4,,15,15,Cm7,1972,
500 Miles High,Chick Corea,Emin,Bossa Nova,4/4,,16,16,B7#9,1972,
500 Miles High,Chick Corea,Emin,Bossa Nova,4/4,,17,17,B7#9,1972,
500 Miles High,Chick Corea,Emin,Bossa Nova,4/4,,0,18,Cm7,1972,
500 Miles High,Chick Corea,Emin,Bossa Nova,4/4,,1,19,Cm7,1972,
500 Miles High,Chick Corea,Emin,Bossa Nova,4/4,,2,20,Abmaj7,1972,
500 Miles High,Chick Corea,Emin,Bossa Nova,4/4,,3,21,Abmaj7,1972,
502 Blues,Jimmy Rowles,Amin,Waltz,3/4,,0,0,Am7,1959,
502 Blues,Jimmy Rowles,Amin,Waltz,3/4,,1,1,Dbmaj7,1959,
502 Blues,Jimmy Rowles,Amin,Waltz,3/4,,2,2,Bm7b5,1959,
502 Blues,Jimmy Rowles,Amin,Waltz,3/4,,3,3,E7#9,1959,
502 Blues,Jimmy Rowles,Amin,Waltz,3/4,,4,4,Am7,1959,
502 Blues,Jimmy Rowles,Amin,Waltz,3/4,,5,5,Dbmaj7,1959,
502 Blues,Jimmy Rowles,Amin,Waltz,3/4,,6,6,Bm7b5,1959,
502 Blues,Jimmy Rowles,Amin,Waltz,3/4,,7,7,E7#9,1959,
502 Blues,Jimmy Rowles,Amin,Waltz,3/4,,8,8,Cm7,1959,
502 Blues,Jimmy Rowles,Amin,Waltz,3/4,,9,9,F7b9,1959,
502 Blues,Jimmy Rowles,Amin,Waltz,3/4,,10,10,Bbmaj7,1959,
502 Blues,Jimmy Rowles,Amin,Waltz,3/4,,11,11,Abm7,1959,
502 Blues,Jimmy Rowles,Amin,Waltz,3/4,,11,12,Db7,1959,
502 Blues,Jimmy Rowles,Amin,Waltz,3/4,,12,13,F#m7b5,1959,
